Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
Sheryl Nome,EX14BT/MCR-2-001,C,Yellow,Character,-,0,1,2000,-,Y,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-001.png?v8
Sheryl Nome,EX14BT/MCR-2-002,U,Yellow,Character,"[Activate: Main] [1/Turn] Can only be activated on the turn this Character was played. Choose one of the following:
• Add 1 of your Life cards to your hand. If you do, draw 2 cards, then discard 1 card from your hand.
• If you have added a Life card to your hand this turn, draw 1 card.",3,1,2000,-,YY,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-002.png?v8
Sheryl Nome,EX14BT/MCR-2-003,R,Yellow,Character,"[Impact Null] (The Character that battled this Character loses Impact for this battle.)
[Your Turn] If you have added a Life card to your hand this turn, this Character gains BP +1000.
[Activate: Main] [1/Turn] Add 1 of your Life cards to your hand.",2,1,3000+,-,Y,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-003.png?v8
Sheryl Nome,EX14BT/MCR-2-004,SR,Yellow,Character,"[Raid] Set <Sheryl Nome> to Active; it can move to Front Line.
If <Ranka Lee> is in your Front Line, this Character gains all of the following effects:
• [Impact (1)]
• [Activate: Main] [Front Line] [1/Turn] Add 1 of your Life cards to your hand. If you do, draw 1 card, and this turn, reduce the AP Cost of the next [Trait: Song (Sheryl)] card used from your hand by 1.",4,1,4000,-,Y,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-004.png?v8
Ranka Lee,EX14BT/MCR-2-005,C,Yellow,Character,[On Play] Look at the top 1 card of your Deck and place it on top of your Deck or in Discard.,0,1,1500,-,Y,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-005.png?v8
Ranka Lee,EX14BT/MCR-2-006,U,Yellow,Character,"If this Character is Active, this Character's Generate Energy +[Yellow].",2,1,2500,-,Y+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-006.png?v8
Ranka Lee,EX14BT/MCR-2-007,R,Yellow,Character,"[Activate: Main] Can only be activated if you have added a Life card to your hand this turn. Set this Character to Active; until the start of your next turn, this Character gains BP +500. <Ranka Lee>'s this effect can only be activated once per turn.",4,1,4000+,-,Y,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-007.png?v8
Ranka Lee,EX14BT/MCR-2-008,SR,Yellow,Character,"[Raid] Set <Ranka Lee> to Active; it can move to Front Line.
[On Play] Draw 1 card.
[Activate: Main] [Front Line] [Discard 1] [1/Turn] Can only be activated if you have added a Life card to your hand this turn. Choose one of the following. An effect already chosen this turn by your other <Ranka Lee> cannot be chosen.
• Place the top 1 card of your Deck face-up in your Life Area.
• Choose 1 Character in the opponent's Front Line and grant it ""This Character cannot attack."" until the start of your next turn.",4,1,4000,-,Y,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-008.png?v8
Obelisk,EX14BT/MCR-2-009,U,Yellow,Event,"Choose up to '1' of the following. If you have added a Life card to your hand this turn, replace it with '2'.
• Draw 2 cards.
• Choose 1 Character on your field; this turn, BP +3000.
• If your Life is 1 and there is no <Obelisk> in your Remove Zone, place the top 1 card of your Deck face-up in your Life Area. Place this card in the Remove Zone.",3,1,-,Song (Sheryl),-,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-009.png?v8
After School Overflow,EX14BT/MCR-2-010,U,Yellow,Event,"Choose up to 1 Character on your field; this turn, BP +2000. If there are 3 or more different card names of Yellow [Trait: Song (Ranka)] in your Discard, draw 2 cards.",2,1,-,Song (Ranka),-,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-010.png?v8
