Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
シェリル・ノーム,EX14BT/MCR-2-001,C,Yellow,キャラクター,-,-,1,2000,-,Y,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-001.png?v8
シェリル・ノーム,EX14BT/MCR-2-002,U,Yellow,キャラクター,"[起動メイン][ターン1]このキャラが登場したターン中のみ発動できる。以下から1つ選ぶ。
・自分のライフを1枚手札に加える。そうした場合、カードを2枚引き、自分の手札を1枚場外に置く。
・このターン中に自分がライフを手札に加えている場合、カードを1枚引く。",3,1,2000,-,YY,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-002.png?v8
シェリル・ノーム,EX14BT/MCR-2-003,R,Yellow,キャラクター,"[インパクト無効]（このキャラとバトルをしたキャラはこのバトル中、インパクトを失う）
[自分のターン中]このターン中に自分がライフを手札に加えている場合、このキャラはBP+1000。
[起動メイン][ターン1]自分のライフを1枚手札に加える。",2,1,3000+,-,Y,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-003.png?v8
シェリル・ノーム,EX14BT/MCR-2-004,SR,Yellow,キャラクター,"[レイド]〈シェリル・ノーム〉アクティブにし、フロントLに移動できる
自分のフロントLに〈ランカ・リー〉がある場合、このキャラは以下の効果を全て得る。
・[インパクト（1）]
・[起動メイン][フロントLにある場合] [ターン1]自分のライフを1枚手札に加える。そうした場合、カードを1枚引き、このターン中、次に手札から使用する［特徴：歌（シェリル）］の消費APを-1する。",4,1,4000,-,Y,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-004.png?v8
ランカ・リー,EX14BT/MCR-2-005,C,Yellow,キャラクター,[登場時]自分の山札の上から1枚見て、山札の上か場外に置く。,-,1,1500,-,Y,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-005.png?v8
ランカ・リー,EX14BT/MCR-2-006,U,Yellow,キャラクター,このキャラがアクティブの場合、このキャラの発生エナジー+[黄]。,2,1,2500,-,Y+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-006.png?v8
ランカ・リー,EX14BT/MCR-2-007,R,Yellow,キャラクター,[起動メイン]このターン中に自分がライフを手札に加えている場合のみ発動できる。このキャラをアクティブにし、次の自分のターン開始時まで、このキャラはBP+500。〈ランカ・リー〉のこの効果は1ターンに1回のみ発動できる。,4,1,4000+,-,Y,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-007.png?v8
ランカ・リー,EX14BT/MCR-2-008,SR,Yellow,キャラクター,"[レイド]〈ランカ・リー〉アクティブにし、フロントLに移動できる
[登場時]カードを1枚引く。
[起動メイン][フロントLにある場合] [手札を1枚場外に置く] [ターン1]このターン中に自分がライフを手札に加えている場合のみ発動できる。以下から1つ選ぶ。このターン中に自分の他の〈ランカ・リー〉が既に選んだ効果は選べない。
・自分の山札の上から1枚を表向きで自分のライフエリアに置く。
・相手のフロントLのキャラを1枚選び、次の自分のターン開始時まで、「このキャラはアタックできない。」を与える。",4,1,4000,-,Y,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-008.png?v8
オベリスク,EX14BT/MCR-2-009,U,Yellow,イベント,"以下から『1つ』まで選ぶ。このターン中に自分がライフを手札に加えている場合、『2つ』に代わる。
・カードを2枚引く。
・自分の場のキャラを1枚選び、このターン中、BP+3000。
・自分のライフが1で、自分のリムーブエリアに〈オベリスク〉がない場合、自分の山札の上から1枚を表向きで自分のライフエリアに置く。このカードをリムーブエリアに置く。",3,1,-,歌（シェリル）,-,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-009.png?v8
放課後オーバーフロウ,EX14BT/MCR-2-010,U,Yellow,イベント,自分の場のキャラを1枚まで選び、このターン中、BP+2000。自分の場外に黄の［特徴：歌（ランカ）］のカード名が3種類以上ある場合、カードを2枚引く。,2,1,-,歌（ランカ）,-,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-010.png?v8
VF-19EF/A イサム・スペシャル,EX14BT/MCR-2-011,R,Blue,キャラクター,"[フロントLにある場合]自分のアタックフェイズ終了時、カードを1枚引き、このキャラを自分の山札の下に置く。自分のエナジーLのカード名に「イサム」を含まないキャラを1枚まで選び、フロントLに移動させる。
[登場時][フロントLにある場合]このキャラをアクティブにする。〈VF-19EF/A イサム・スペシャル〉のこの効果は1ターンに1回のみ発動する。",3,1,4000,S.M.S／F形態,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-011.png?v8
シェリル・ノーム,EX14BT/MCR-2-012,SR,Blue,キャラクター,"[登場時]自分の山札の上から2枚見て、カード名に「アルト」を含むカードか〈サヨナラノツバサ ～ the end of triangle〉を1枚まで公開し手札に加える。残りを望む順で山札の下に置く。手札に加えた場合、自分の手札を1枚場外に置く。
[起動メイン][レストにする]このターン中に自分が〈サヨナラノツバサ ～ the end of triangle〉を使用している場合のみ発動できる。自分の山札の上から1枚見て、山札の上か下に置く。",-,1,1500,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-012.png?v8
ランカ・リー,EX14BT/MCR-2-013,SR,Blue,キャラクター,"[登場時]自分の山札の上から2枚見て、カード名に「アルト」を含むカードか〈サヨナラノツバサ ～ the end of triangle〉を1枚まで公開し手札に加える。残りを望む順で山札の下に置く。手札に加えた場合、自分の手札を1枚場外に置く。
[起動メイン][レストにする]このターン中に自分が〈サヨナラノツバサ ～ the end of triangle〉を使用している場合のみ発動できる。自分の山札の上から3枚見て、望む順で山札の上に置く。",-,1,1500,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-013.png?v8
