Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
เชอริล โนม,EX14BT/MCR-2-001,C,Yellow,คาแรคเตอร์,-,0,1,2000,-,Y,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-001.png?v8
เชอริล โนม,EX14BT/MCR-2-002,U,Yellow,คาแรคเตอร์,"[สั่งใช้: เมน] [1/เทิร์น] เปิดใช้ได้เฉพาะในเทิร์นที่คาแรคเตอร์นี้ถูกเล่น เลือกหนึ่งต่อไปนี้:
• นำไลฟ์ของคุณขึ้นมือ 1 ใบ หากทำแล้ว จั่วการ์ด 2 ใบ แล้วทิ้งการ์ด 1 ใบจากมือ
• หากคุณนำไลฟ์ขึ้นมือในเทิร์นนี้แล้ว จั่วการ์ด 1 ใบ",3,1,2000,-,YY,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-002.png?v8
เชอริล โนม,EX14BT/MCR-2-003,R,Yellow,คาแรคเตอร์,"[Impact Cancel] (คาแรคเตอร์ที่ต่อสู้กับคาแรคเตอร์นี้จะสูญเสียอิมแพคในการต่อสู้ครั้งนี้)
[เทิร์นคุณ] หากคุณนำไลฟ์ขึ้นมือในเทิร์นนี้แล้ว คาแรคเตอร์นี้ได้รับ BP +1000
[สั่งใช้: เมน] [1/เทิร์น] นำไลฟ์ของคุณขึ้นมือ 1 ใบ",2,1,3000+,-,Y,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-003.png?v8
เชอริล โนม,EX14BT/MCR-2-004,SR,Yellow,คาแรคเตอร์,"[Raid] ตั้ง <เชอริล โนม> เป็นแอคทีฟ สามารถย้ายไป Front Line ได้
หาก <รันกะ ลี> อยู่ใน Front Line ของคุณ คาแรคเตอร์นี้ได้รับเอฟเฟกต์ทั้งหมดต่อไปนี้:
• [Impact (1)]
• [สั่งใช้: เมน] [Front Line] [1/เทิร์น] นำไลฟ์ของคุณขึ้นมือ 1 ใบ หากทำแล้ว จั่วการ์ด 1 ใบ และในเทิร์นนี้ ให้ลด AP Cost ของการ์ด [ลักษณะ: เพลง (เชอริล)] ใบถัดไปที่ใช้จากมือลง 1",4,1,4000,-,Y,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-004.png?v8
รันกะ ลี,EX14BT/MCR-2-005,C,Yellow,คาแรคเตอร์,[เมื่อเข้าสู่สนาม] ดูการ์ด 1 ใบบนสุดของกองการ์ด แล้ววางไว้บนสุดของกองการ์ดหรือ Outside Area,0,1,1500,-,Y,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-005.png?v8
รันกะ ลี,EX14BT/MCR-2-006,U,Yellow,คาแรคเตอร์,หากคาแรคเตอร์นี้อยู่ในสภาพแอคทีฟ Generate Energy ของคาแรคเตอร์นี้ +[เหลือง],2,1,2500,-,Y+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-006.png?v8
รันกะ ลี,EX14BT/MCR-2-007,R,Yellow,คาแรคเตอร์,[สั่งใช้: เมน] เปิดใช้ได้เฉพาะเมื่อคุณนำไลฟ์ขึ้นมือในเทิร์นนี้แล้ว ตั้งคาแรคเตอร์นี้เป็นแอคทีฟ จนถึงเริ่มเทิร์นถัดไปของคุณ คาแรคเตอร์นี้ได้รับ BP +500 เอฟเฟกต์นี้ของ <รันกะ ลี> เปิดใช้ได้เพียงครั้งเดียวต่อเทิร์น,4,1,4000+,-,Y,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-007.png?v8
รันกะ ลี,EX14BT/MCR-2-008,SR,Yellow,คาแรคเตอร์,"[Raid] ตั้ง <รันกะ ลี> เป็นแอคทีฟ สามารถย้ายไป Front Line ได้
[เมื่อเข้าสู่สนาม] จั่วการ์ด 1 ใบ
[สั่งใช้: เมน] [Front Line] [ทิ้งการ์ด 1 ใบ] [1/เทิร์น] เปิดใช้ได้เฉพาะเมื่อคุณนำไลฟ์ขึ้นมือในเทิร์นนี้แล้ว เลือกหนึ่งต่อไปนี้ เอฟเฟกต์ที่ <รันกะ ลี> ใบอื่นของคุณเลือกไปแล้วในเทิร์นนี้ไม่สามารถเลือกได้อีก
• วางการ์ดบนสุดของกองการ์ดของคุณหงายหน้าไว้ที่ Life Area
• เลือกคาแรคเตอร์ใน Front Line ของฝ่ายตรงข้าม 1 ใบ และมอบ ""คาแรคเตอร์นี้ไม่สามารถโจมตีได้"" จนถึงเริ่มเทิร์นถัดไปของคุณ",4,1,4000,-,Y,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-008.png?v8
โอเบลิสก์,EX14BT/MCR-2-009,U,Yellow,อีเวนต์,"เลือกได้ไม่เกิน '1' ข้อต่อไปนี้ หากคุณนำไลฟ์ขึ้นมือในเทิร์นนี้แล้ว ให้เปลี่ยนเป็น '2'
• จั่วการ์ด 2 ใบ
• เลือกคาแรคเตอร์บนสนามของคุณ 1 ใบ ในเทิร์นนี้ BP +3000
• หากไลฟ์ของคุณเหลือ 1 และไม่มี <โอเบลิสก์> ใน Remove Zone ของคุณ วางการ์ดบนสุดของกองการ์ดของคุณหงายหน้าไว้ที่ Life Area วางการ์ดนี้ลง Remove Zone",3,1,-,เพลง (เชอริล),-,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-009.png?v8
หลังเลิกเรียนโอเวอร์โฟลว์,EX14BT/MCR-2-010,U,Yellow,อีเวนต์,เลือกคาแรคเตอร์บนสนามของคุณได้ไม่เกิน 1 ใบ ในเทิร์นนี้ BP +2000 หากมีชื่อการ์ดที่แตกต่างกันของ [ลักษณะ: เพลง (รันกะ)] สีเหลืองใน Outside Area ของคุณ 3 ใบขึ้นไป จั่วการ์ด 2 ใบ,2,1,-,เพลง (รังกะ),-,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-010.png?v8
