Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
Ah-Un,UA50BT/IYS-1-001,U,Purple,Character,[On Play] Choose up to 1 other Character with no Trait on your area and move it to another Line.,3,1,3000,-,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-001.png?v8
Jaken,UA50BT/IYS-1-002,C,Purple,Character,[Impact Cancel] (The Character that battled this Character loses Impact for this battle.),0,1,1500,-,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-002.png?v8
Jaken,UA50BT/IYS-1-003,R,Purple,Character,"[On Play] Look at the top 4 cards of your Deck, reveal up to 1 Character card with no Trait and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.",1,1,1500,-,P,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-003.png?v8
Sesshomaru,UA50BT/IYS-1-004,C,Purple,Character,-,0,1,1500,-,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-004.png?v8
Sesshomaru,UA50BT/IYS-1-005,C,Purple,Character,"If there are no cards on your area, reduce the Energy Cost of this card in your hand by [Purple ×2].
[On Play] Look at the top 2 cards of your Deck, place up to 1 Purple Character card with no Trait in Outside Area. Place the rest on top of your Deck in any order.",2,1,2000,-,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-005.png?v8
Sesshomaru,UA50BT/IYS-1-006,U,Purple,Character,"[Impact Cancel] (The Character that battled this Character loses Impact for this battle.)
[Your Turn] If your Character was played from Outside Area this turn, this Character gains BP +1000.",3,1,3000+,-,PP,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-006.png?v8
Sesshomaru,UA50BT/IYS-1-007,R,Purple,Character,"[Attacking] If your Character was played from Outside Area this turn, draw up to 1 card.",4,1,4000,-,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-007.png?v8
Sesshomaru,UA50BT/IYS-1-008,R,Purple,Character,"[Your Turn] If your Character was played from Outside Area this turn, this Character gains [Damage (2)].
[On Play] Play up to 1 Purple Character card with no Trait with Energy Cost 3 or less and AP Cost 1 from your Outside Area to your area Rested.",5,2,4000,-,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-008.png?v8
Sesshomaru,UA50BT/IYS-1-009,SR,Purple,Character,"[Raid] Set <Sesshomaru> to Active; it can move to Front Line.
[Your Turn] If your Character was played from Outside Area this turn, this Character gains BP +500 and [Impact (1)].
[On Play] Play up to 1 Purple Character card with no Trait with Energy Cost 3 or less and AP Cost 1 from your Outside Area to your area Rested.",6,1,4500+,-,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-009.png?v8
Sesshomaru's Mother,UA50BT/IYS-1-010,U,Purple,Character,[On Play] Add up to 1 Purple Character card with no Trait with Energy Cost 4 or less from your Outside Area to your hand.,4,2,4000,-,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-010.png?v8
Rin,UA50BT/IYS-1-011,C,Purple,Character,"[Activate: Main] [Rest this card] [1/Turn] This Character gains Generate Energy +[Purple] and ""At the end of the Main Phase, retire this Character."" this turn.",0,1,1000,-,P+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-011.png?v8
Rin,UA50BT/IYS-1-012,R,Purple,Character,"[On Play] If <Sesshomaru> is on your area, draw 1 card.",3,1,2500,-,PP,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-012.png?v8
Rin,UA50BT/IYS-1-013,SR,Purple,Character,"If <Sesshomaru> is in your Front Line, this Character's Generate Energy +[Purple].
[On Play] If this Character was played from Outside Area, choose up to 1 <Sesshomaru> on your area and set it to Active.",2,1,1500,-,P+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-013.png?v8
Akago,UA50BT/IYS-1-014,C,Purple,Character,"[On Leave] Look at the top 3 cards of your Deck, reveal up to 1 [Trait: Naraku Faction] card and add it to your hand. Place the rest at the bottom of your Deck in any order.",1,1,1500,Naraku Faction,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-014.png?v8
Onigumo,UA50BT/IYS-1-015,C,Purple,Character,[On Leave] Draw 1 card.,0,1,500,Naraku Faction,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-015.png?v8
Kagura,UA50BT/IYS-1-016,C,Purple,Character,"[On Play] Draw 1 card, then discard 1 card from your hand.",0,1,1500,Naraku Faction,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-016.png?v8
Kagura,UA50BT/IYS-1-017,U,Purple,Character,"If this Character is Active, this Character's Generate Energy +[Purple].",2,1,2500,Naraku Faction,P+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-017.png?v8
Kagura,UA50BT/IYS-1-018,R,Purple,Character,"[On Play] Look at the top 1 card of your Deck and place it on top of your Deck or in Outside Area.
[Activate: Main] [1/Turn] Choose up to 1 other [Trait: Naraku Faction] on your area and grant it ""This Character cannot be blocked by Characters with BP 4000 or more."" this turn. Retire 1 other [Trait: Naraku Faction] on your area.",3,1,3000,Naraku Faction,PP,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-018.png?v8
Kagura,UA50BT/IYS-1-019,SR,Purple,Character,"[On Play] Play up to 1 Purple Character card with Energy Cost 2 or less and AP Cost 1 from your Outside Area to your area Rested. Grant that Character ""At the end of the Main Phase, retire this Character."" this turn.",4,1,4000,Naraku Faction,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-019.png?v8
Juroumaru & Kageroumaru,UA50BT/IYS-1-020,U,Purple,Character,"[On Play] Return 1 other Character with Energy Cost 1 or less on your area to your hand. If unable to, return this Character to your hand.",1,1,1500,Naraku Faction,PP,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-020.png?v8
Kanna,UA50BT/IYS-1-021,U,Purple,Character,"[On Play] Look at the top 3 cards of your Deck, reveal up to 1 [Trait: Naraku Faction] or <Mirror of Kanna> and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.",1,1,1500,Naraku Faction,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-021.png?v8
Kanna,UA50BT/IYS-1-022,SR,Purple,Character,"[On Play] Draw 1 card, then discard 1 card from your hand or place it face-down under 1 <Naraku> on your area.
[Activate: Main] Place 1 [Trait: Naraku Faction] or <Shikon Jewel Shard> from your Outside Area face-down under 1 <Naraku> on your area. <Kanna>'s this effect can only be activated once per turn.",3,1,3000,Naraku Faction,PP,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-022.png?v8
Goshinki,UA50BT/IYS-1-023,C,Purple,Character,"[Your Turn] If a Character on your area has been retired this turn, this Character gains BP +1000.",2,1,3000+,Naraku Faction,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-023.png?v8
