Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
阿吽,UA50BT/IYS-1-001,U,Purple,キャラクター,[登場時]自分の場の特徴を持たない他のキャラを1枚まで選び、別のラインに移動させる。,3,1,3000,-,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-001.png?v8
邪見,UA50BT/IYS-1-002,C,Purple,キャラクター,[インパクト無効]（このキャラとバトルをしたキャラはこのバトル中、インパクトを失う）,0,1,1500,-,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-002.png?v8
邪見,UA50BT/IYS-1-003,R,Purple,キャラクター,[登場時]自分の山札の上から4枚見て、特徴を持たないキャラカードを1枚まで公開し手札に加える。残りを望む順で山札の下に置く。手札に加えた場合、自分の手札を1枚場外に置く。,1,1,1500,-,P,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-003.png?v8
殺生丸,UA50BT/IYS-1-004,C,Purple,キャラクター,-,0,1,1500,-,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-004.png?v8
殺生丸,UA50BT/IYS-1-005,C,Purple,キャラクター,"自分の場にカードが1枚もない場合、手札にあるこのカードの必要エナジーを[紫×2]減らす。
[登場時]自分の山札の上から2枚見て、特徴を持たない紫のキャラカードを1枚まで場外に置く。残りを望む順で山札の上に置く。",2,1,2000,-,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-005.png?v8
殺生丸,UA50BT/IYS-1-006,U,Purple,キャラクター,"[インパクト無効]（このキャラとバトルをしたキャラはこのバトル中、インパクトを失う）
[自分のターン中]このターン中に自分のキャラが場外から登場している場合、このキャラはBP+1000。",3,1,3000+,-,PP,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-006.png?v8
殺生丸,UA50BT/IYS-1-007,R,Purple,キャラクター,[アタック時]このターン中に自分のキャラが場外から登場している場合、カードを1枚まで引く。,4,1,4000,-,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-007.png?v8
殺生丸,UA50BT/IYS-1-008,R,Purple,キャラクター,"[自分のターン中]このターン中に自分のキャラが場外から登場している場合、このキャラは[ダメージ（2）]を得る。
[登場時]自分の場外から必要エナジーが3以下で消費APが1の特徴を持たない紫のキャラカードを1枚まで自分の場にレストで登場させる。",5,2,4000,-,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-008.png?v8
殺生丸,UA50BT/IYS-1-009,SR,Purple,キャラクター,"[レイド]〈殺生丸〉アクティブにし、フロントLに移動できる
[自分のターン中]このターン中に自分のキャラが場外から登場している場合、このキャラはBP+500と[インパクト（1）]を得る。
[登場時]自分の場外から必要エナジーが3以下で消費APが1の特徴を持たない紫のキャラカードを1枚まで自分の場にレストで登場させる。",6,1,4500+,-,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-009.png?v8
殺生丸の母,UA50BT/IYS-1-010,U,Purple,キャラクター,[登場時]自分の場外から必要エナジーが4以下で特徴を持たない紫のキャラカードを1枚まで手札に加える。,4,2,4000,-,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-010.png?v8
