Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
อะ-อุน,UA50BT/IYS-1-001,U,Purple,ตัวละคร,[เมื่อเล่น] เลือกตัวละครอื่นที่ไม่มีลักษณะบนสนามของคุณได้สูงสุด 1 ใบ แล้วย้ายไปยังแนวอื่น,3,1,3000,-,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-001.png?v8
จาเก็น,UA50BT/IYS-1-002,C,Purple,ตัวละคร,[ยกเลิกอิมแพค] (ตัวละครที่ต่อสู้กับตัวละครนี้จะสูญเสียอิมแพคในการต่อสู้ครั้งนี้),0,1,1500,-,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-002.png?v8
จาเก็น,UA50BT/IYS-1-003,R,Purple,ตัวละคร,[เมื่อเล่น] ดูไพ่ 4 ใบบนสุดของสำรับ เปิดเผยการ์ดตัวละครที่ไม่มีลักษณะได้สูงสุด 1 ใบและเพิ่มเข้ามือ วางที่เหลือไว้ที่ก้นสำรับตามลำดับที่ต้องการ หากเพิ่มการ์ดเข้ามือแล้ว ให้ทิ้งการ์ด 1 ใบจากมือ,1,1,1500,-,P,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-003.png?v8
เส็ตโชมารู,UA50BT/IYS-1-004,C,Purple,ตัวละคร,-,0,1,1500,-,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-004.png?v8
เส็ตโชมารู,UA50BT/IYS-1-005,C,Purple,ตัวละคร,"หากไม่มีการ์ดบนสนามของคุณ ให้ลดต้นทุนพลังงานของการ์ดนี้ในมือลง [ม่วง ×2]
[เมื่อเล่น] ดูไพ่ 2 ใบบนสุดของสำรับ วางการ์ดตัวละครสีม่วงที่ไม่มีลักษณะได้สูงสุด 1 ใบลงกองทิ้ง วางที่เหลือไว้บนสุดของสำรับตามลำดับที่ต้องการ",2,1,2000,-,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-005.png?v8
เส็ตโชมารู,UA50BT/IYS-1-006,U,Purple,ตัวละคร,"[ยกเลิกอิมแพค] (ตัวละครที่ต่อสู้กับตัวละครนี้จะสูญเสียอิมแพคในการต่อสู้ครั้งนี้)
[ระหว่างเทิร์นของคุณ] หากตัวละครของคุณถูกเล่นจากกองทิ้งในเทิร์นนี้ ตัวละครนี้ได้รับ BP +1000",3,1,3000+,-,PP,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-006.png?v8
เส็ตโชมารู,UA50BT/IYS-1-007,R,Purple,ตัวละคร,[เมื่อโจมตี] หากตัวละครของคุณถูกเล่นจากกองทิ้งในเทิร์นนี้ จั่วไพ่ได้สูงสุด 1 ใบ,4,1,4000,-,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-007.png?v8
เส็ตโชมารู,UA50BT/IYS-1-008,R,Purple,ตัวละคร,"[ระหว่างเทิร์นของคุณ] หากตัวละครของคุณถูกเล่นจากกองทิ้งในเทิร์นนี้ ตัวละครนี้ได้รับ [ความเสียหาย (2)]
[เมื่อเล่น] เล่นการ์ดตัวละครสีม่วงที่ไม่มีลักษณะ ต้นทุนพลังงาน 3 หรือน้อยกว่า และต้นทุน AP 1 ได้สูงสุด 1 ใบจากกองทิ้งลงสนามในสถานะพัก",5,2,4000,-,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-008.png?v8
เส็ตโชมารู,UA50BT/IYS-1-009,SR,Purple,ตัวละคร,"[เรด] ตั้ง <เส็ตโชมารู> เป็นแอคทีฟ สามารถย้ายไปแนวหน้าได้
[ระหว่างเทิร์นของคุณ] หากตัวละครของคุณถูกเล่นจากกองทิ้งในเทิร์นนี้ ตัวละครนี้ได้รับ BP +500 และ [อิมแพค (1)]
[เมื่อเล่น] เล่นการ์ดตัวละครสีม่วงที่ไม่มีลักษณะ ต้นทุนพลังงาน 3 หรือน้อยกว่า และต้นทุน AP 1 ได้สูงสุด 1 ใบจากกองทิ้งลงสนามในสถานะพัก",6,1,4500+,-,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-009.png?v8
แม่ของเส็ตโชมารู,UA50BT/IYS-1-010,U,Purple,ตัวละคร,[เมื่อเล่น] เพิ่มการ์ดตัวละครสีม่วงที่ไม่มีลักษณะ ต้นทุนพลังงาน 4 หรือน้อยกว่าได้สูงสุด 1 ใบจากกองทิ้งเข้ามือ,4,2,4000,-,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA50BT_IYS-1-010.png?v8
