Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
Eris,UA54BT/MST-1-001,C,Blue,Character,-,0,1,1500,-,B,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-001.png?v8
Eris,UA54BT/MST-1-002,C,Blue,Character,-,0,1,2000,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-002.png?v8
Eris,UA54BT/MST-1-003,U,Blue,Character,"If <Rudeus> and <Ruijerd> are on your field, this Character gains BP +1000.",1,1,2000+,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-003.png?v8
Eris,UA54BT/MST-1-004,U,Blue,Character,"[On Play] If this Character was played by your own effect, set this Character to Active.",2,1,3000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-004.png?v8
Eris,UA54BT/MST-1-005,R,Blue,Character,"If there are no cards on your field, reduce the Energy Cost of this card in your hand by [Blue ×2].
[Impact Null] (The Character that battled this Character loses Impact for this battle.)
[During your turn] If you have [played or Raided] a Character card by your own effect this turn, this Character gains BP +500.",2,1,2500+,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-005.png?v8
Eris,UA54BT/MST-1-006,R,Blue,Character,"[On Play] You may pay 1 AP. If you do, draw 1 card, then play up to 1 Blue [<Rudeus> or <Eris> or <Ruijerd>] with Energy Cost 3 or less and AP Cost 1 from your hand to your field Rested, or Raid it.",3,1,2500,-,BB,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-006.png?v8
Eris,UA54BT/MST-1-007,SR,Blue,Character,"[On Play] Choose one of the following:
• Draw 1 card, then discard 1 card from your hand.
• If this Character was played by your own effect, play up to 1 Blue [<Rudeus> or <Eris> or <Ruijerd>] with Energy Cost 3 or less and AP Cost 1 from your hand to your field Rested, or Raid it. <Eris>'s this effect can only be chosen once per turn.",1,1,2000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-007.png?v8
Eris,UA54BT/MST-1-008,SR,Blue,Character,"[Raid] Set <Eris> to Active; it can move to Front Line.
When this Character's attack is not blocked, draw up to 1 card.
[Once per turn] When this Character attacks and loses the battle, set this Character to Active, and this Character gains BP +2000 this turn.",3,1,3000+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-008.png?v8
Eris,UA54BT/MST-1-009,SR,Blue,Character,"[Raid] Set <Eris> to Active; it can move to Front Line.
[Impact (1)] (When attacking and winning the battle, deal 1 damage to the opponent.)
[During your turn] This Character gains BP +500.
[On Play] If this Character was played by your own effect, choose one of the following:
• This Character gains BP +1000 until the start of your next turn.
• This Character gains ""At the end of this Character's attack, you may choose 1 Character in your Energy Line and swap positions with this Character."" this turn.",3,1,3500+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-009.png?v8
Kishirika Kishirisu,UA54BT/MST-1-010,U,Blue,Character,[On Play] Look at the top 3 cards of your Deck and place them on top of your Deck in any order.,3,1,3000,-,BB,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-010.png?v8
