Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
エリス,UA54BT/MST-1-001,C,Blue,キャラクター,-,-,1,1500,-,B,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-001.png?v8
エリス,UA54BT/MST-1-002,C,Blue,キャラクター,-,-,1,2000,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-002.png?v8
エリス,UA54BT/MST-1-003,U,Blue,キャラクター,自分の場に〈ルーデウス〉と〈ルイジェルド〉がある場合、このキャラはBP+1000。,1,1,2000+,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-003.png?v8
エリス,UA54BT/MST-1-004,U,Blue,キャラクター,[登場時]このキャラが自分の効果で登場していた場合、このキャラをアクティブにする。,2,1,3000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-004.png?v8
エリス,UA54BT/MST-1-005,R,Blue,キャラクター,"自分の場にカードが1枚もない場合、手札にあるこのカードの必要エナジーを[青×2]減らす。
[インパクト無効]（このキャラとバトルをしたキャラはこのバトル中、インパクトを失う）
[自分のターン中]このターン中に自分の効果でキャラカードを〔登場させるかレイドさせている〕場合、このキャラはBP+500。",2,1,2500+,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-005.png?v8
エリス,UA54BT/MST-1-006,R,Blue,キャラクター,[登場時]APを1支払ってもよい。そうした場合、カードを1枚引き、自分の手札から必要エナジーが3以下で消費APが1の青の〔〈ルーデウス〉か〈エリス〉か〈ルイジェルド〉〕を1枚まで自分の場にレストで登場させるかレイドさせる。,3,1,2500,-,BB,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-006.png?v8
エリス,UA54BT/MST-1-007,SR,Blue,キャラクター,"[登場時]以下から1つ選ぶ。
・カードを1枚引き、自分の手札を1枚場外に置く。
・このキャラが自分の効果で登場していた場合、自分の手札から必要エナジーが3以下で消費APが1の青の〔〈ルーデウス〉か〈エリス〉か〈ルイジェルド〉〕を1枚まで自分の場にレストで登場させるかレイドさせる。〈エリス〉のこの効果は1ターンに1回のみ選べる。",1,1,2000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-007.png?v8
エリス,UA54BT/MST-1-008,SR,Blue,キャラクター,"[レイド]〈エリス〉アクティブにし、フロントLに移動できる
このキャラのアタックがブロックされなかった時、カードを1枚まで引く。
[ターン1]このキャラがアタックしてバトルに敗北した時、このキャラをアクティブにし、このキャラはこのターン中、BP+2000。",3,1,3000+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-008.png?v8
エリス,UA54BT/MST-1-009,SR,Blue,キャラクター,"[レイド]〈エリス〉アクティブにし、フロントLに移動できる
[インパクト（1）]（アタックしてバトルに勝利した時、相手に1ダメージ）
[自分のターン中]このキャラはBP+500。
[登場時]このキャラが自分の効果で登場していた場合、以下から1つ選ぶ。
・このキャラは次の自分のターン開始時まで、BP+1000。
・このキャラはこのターン中、「このキャラのアタック終了時、自分のエナジーLのキャラを1枚選び、このキャラと位置を入れ替えてもよい。」を得る。",3,1,3500+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-009.png?v8
キシリカ・キシリス,UA54BT/MST-1-010,U,Blue,キャラクター,[登場時]自分の山札の上から3枚見て、望む順で山札の上に置く。,3,1,3000,-,BB,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-010.png?v8
ギレーヌ,UA54BT/MST-1-011,U,Blue,キャラクター,[起動メイン][フロントLにある場合] [ターン1]自分の場の〈エリス〉を1枚選び、このターン中、BP+1000。,4,1,4000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-011.png?v8
シルフィエット,UA54BT/MST-1-012,C,Blue,キャラクター,[アタック時]カードを1枚引き、自分の手札を1枚場外に置く。,-,1,1000,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-012.png?v8
シルフィエット,UA54BT/MST-1-013,U,Blue,キャラクター,[退場時]カードを1枚引く。,1,1,2000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-013.png?v8
シルフィエット,UA54BT/MST-1-014,SR,Blue,キャラクター,"自分の場にカードが1枚もない場合、手札にあるこのカードの必要エナジーを[青×2]減らす。
[自分のターン中]このターン中に自分がイベントカードを使用していて、同じラインに〈ルーデウス〉がある場合、このキャラはBP+1500。
[登場時]自分の山札の上から2枚見て、1枚まで場外に置き、残りを望む順で山札の上に置く。",2,1,1500+,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-014.png?v8
聖獣,UA54BT/MST-1-015,U,Blue,キャラクター,[インパクト無効]（このキャラとバトルをしたキャラはこのバトル中、インパクトを失う）,2,1,3000,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-015.png?v8
ゼニス,UA54BT/MST-1-016,C,Blue,キャラクター,[起動メイン][レストにする] [ターン1]このキャラはこのターン中、発生エナジー+[青]と「メインフェイズ終了時、このキャラを退場させる。」を得る。,-,1,1000,-,B+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-016.png?v8
ノルン＆アイシャ,UA54BT/MST-1-017,C,Blue,キャラクター,[登場時]カードを1枚引く。,2,1,2000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-017.png?v8
パウロ,UA54BT/MST-1-018,U,Blue,キャラクター,[アタック時]カードを1枚引き、自分の手札を1枚場外に置く。,5,1,4000,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-018.png?v8
リーリャ,UA54BT/MST-1-019,C,Blue,キャラクター,[登場時]必要エナジーが1以下の自分の場の他のキャラを1枚手札に戻す。戻せない場合、このキャラを手札に戻す。,1,1,1500,-,BB,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-019.png?v8
ルイジェルド,UA54BT/MST-1-020,C,Blue,キャラクター,-,-,1,2000,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-020.png?v8
ルイジェルド,UA54BT/MST-1-021,R,Blue,キャラクター,"[登場時]自分の手札から必要エナジーが3以下で消費APが1の青の〔〈ルーデウス〉か〈エリス〉か〈ルイジェルド〉〕を1枚まで自分の場にレストで登場させるかレイドさせる。
[起動メイン][ターン1]自分の場に〈ルーデウス〉と〈エリス〉がある場合のみ発動できる。このキャラをアクティブにする。",4,2,4000,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-021.png?v8
ルーデウス,UA54BT/MST-1-022,C,Blue,キャラクター,[登場時]カードを1枚引き、自分の手札を1枚場外に置く。,-,1,1500,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-022.png?v8
ルーデウス,UA54BT/MST-1-023,C,Blue,キャラクター,[登場時]このキャラが自分の効果で登場していた場合、カードを1枚引く。,2,1,3000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-023.png?v8
ルーデウス,UA54BT/MST-1-024,U,Blue,キャラクター,[自分のターン中]自分の場に〈ロキシー〉がある場合、このキャラはBP+1000。,1,1,2000+,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-024.png?v8
ルーデウス,UA54BT/MST-1-025,R,Blue,キャラクター,"[レイド]〈ルーデウス〉アクティブにし、フロントLに移動できる
[登場時]自分の場のキャラを1枚まで選び、このターン中、BP+1000。
[起動メイン][フロントLにある場合] [ターン1]以下から1つ選ぶ。
・このキャラの[登場時]を発動する。
・自分の場のレイド状態の〈エリス〉を1枚選び、このターン中、[狙い撃ち]を与え、このキャラの一番上のカードを場外に置く。",4,1,4000+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-025.png?v8
ルーデウス,UA54BT/MST-1-026,SR,Blue,キャラクター,"このカードはフロントLに登場できず、自分の効果以外で移動できない。
[アタック時]以下から1つ選ぶ。
・自分の場の他のキャラを1枚まで選び、このターン中、BP+1000。
・カードを1枚引く。
・このターン中に自分が〈豪雷積層雲〉を使用している場合、このキャラはこのターン中、[インパクト（1）]を得る。",3,1,4000,-,BB,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-026.png?v8
ロキシー,UA54BT/MST-1-027,C,Blue,キャラクター,-,-,1,1500,-,B,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-027.png?v8
ロキシー,UA54BT/MST-1-028,U,Blue,キャラクター,[登場時]自分の山札の上から2枚見て、〈ルーデウス〉か〈ロキシー〉か必要エナジーが2以下のイベントカードを1枚まで公開し手札に加える。残りを場外に置く。手札に加えた場合、自分の手札を1枚場外に置く。,1,1,1500,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-028.png?v8
ロキシー,UA54BT/MST-1-029,U,Blue,キャラクター,このキャラがアクティブの場合、このキャラの発生エナジー+[青]。,2,1,2500,-,B+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-029.png?v8
ロキシー,UA54BT/MST-1-030,R,Blue,キャラクター,"[起動メイン][レストにする]このターン中に自分がイベントカードを使用している場合のみ発動できる。以下から1つ選ぶ。
・自分の場のキャラを1枚選び、このターン中、BP+1000。
・カードを1枚引き、自分の手札を1枚場外に置く。",3,1,3000+,-,BB,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-030.png?v8
