Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
เอริส,UA54BT/MST-1-001,C,Blue,คาแรคเตอร์,-,0,1,1500,-,B,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-001.png?v8
เอริส,UA54BT/MST-1-002,C,Blue,คาแรคเตอร์,-,0,1,2000,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-002.png?v8
เอริส,UA54BT/MST-1-003,U,Blue,คาแรคเตอร์,หาก <รูเดียส> และ <รุยเจิร์ด> อยู่บนสนามของคุณ คาแรคเตอร์นี้ได้รับ BP +1000,1,1,2000+,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-003.png?v8
เอริส,UA54BT/MST-1-004,U,Blue,คาแรคเตอร์,[เมื่อเข้าสู่สนาม] หากคาแรคเตอร์นี้ถูกเล่นจากเอฟเฟกต์ของคุณ ตั้งคาแรคเตอร์นี้เป็นแอคทีฟ,2,1,3000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-004.png?v8
เอริส,UA54BT/MST-1-005,R,Blue,คาแรคเตอร์,"หากไม่มีการ์ดบนสนามของคุณ ให้ลด Energy Cost ของการ์ดนี้ในมือลง [น้ำเงิน ×2]
[Impact Cancel] (คาแรคเตอร์ที่ต่อสู้กับคาแรคเตอร์นี้จะสูญเสียอิมแพคในการต่อสู้ครั้งนี้)
[เทิร์นคุณ] หากคุณได้[เล่นหรือเรด]การ์ดคาแรคเตอร์ด้วยเอฟเฟกต์ของคุณในเทิร์นนี้ คาแรคเตอร์นี้ได้รับ BP +500",2,1,2500+,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-005.png?v8
เอริส,UA54BT/MST-1-006,R,Blue,คาแรคเตอร์,[เมื่อเข้าสู่สนาม] คุณอาจเสีย AP 1 หากทำแล้ว จั่วการ์ด 1 ใบ แล้วเล่นคาแรคเตอร์สีน้ำเงิน [<รูเดียส> หรือ <เอริส> หรือ <รุยเจิร์ด>] Energy Cost 3 หรือน้อยกว่า และ AP Cost 1 ได้ไม่เกิน 1 ใบจากมือลงสนามในสภาพเรส หรือ Raid,3,1,2500,-,BB,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-006.png?v8
เอริส,UA54BT/MST-1-007,SR,Blue,คาแรคเตอร์,"[เมื่อเข้าสู่สนาม] เลือกหนึ่งต่อไปนี้:
• จั่วการ์ด 1 ใบ แล้วทิ้งการ์ด 1 ใบจากมือ
• หากคาแรคเตอร์นี้ถูกเล่นจากเอฟเฟกต์ของคุณ เล่นคาแรคเตอร์สีน้ำเงิน [<รูเดียส> หรือ <เอริส> หรือ <รุยเจิร์ด>] Energy Cost 3 หรือน้อยกว่า และ AP Cost 1 ได้ไม่เกิน 1 ใบจากมือลงสนามในสภาพเรส หรือ Raid เอฟเฟกต์นี้ของ <เอริส> เลือกได้เพียงครั้งเดียวต่อเทิร์น",1,1,2000,-,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-007.png?v8
เอริส,UA54BT/MST-1-008,SR,Blue,คาแรคเตอร์,"[Raid] ตั้ง <เอริส> เป็นแอคทีฟ สามารถย้ายไป Front Line ได้
เมื่อการโจมตีของคาแรคเตอร์นี้ไม่ถูกบล็อก จั่วการ์ดได้ไม่เกิน 1 ใบ
[1/เทิร์น] เมื่อคาแรคเตอร์นี้โจมตีและแพ้การต่อสู้ ตั้งคาแรคเตอร์นี้เป็นแอคทีฟ และคาแรคเตอร์นี้ได้รับ BP +2000 ในเทิร์นนี้",3,1,3000+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-008.png?v8
เอริส,UA54BT/MST-1-009,SR,Blue,คาแรคเตอร์,"[Raid] ตั้ง <เอริส> เป็นแอคทีฟ สามารถย้ายไป Front Line ได้
[อิมแพค (1)] (เมื่อโจมตีและชนะการต่อสู้ ให้ดีลดาเมจ 1 แก่ฝ่ายตรงข้าม)
[เทิร์นคุณ] คาแรคเตอร์นี้ได้รับ BP +500
[เมื่อเข้าสู่สนาม] หากคาแรคเตอร์นี้ถูกเล่นจากเอฟเฟกต์ของคุณ เลือกหนึ่งต่อไปนี้:
• คาแรคเตอร์นี้ได้รับ BP +1000 จนถึงเริ่มเทิร์นถัดไปของคุณ
• คาแรคเตอร์นี้ได้รับ ""เมื่อสิ้นสุดการโจมตีของคาแรคเตอร์นี้ คุณอาจเลือกคาแรคเตอร์ 1 ใบใน Energy Line และสลับตำแหน่งกับคาแรคเตอร์นี้"" ในเทิร์นนี้",3,1,3500+,-,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-009.png?v8
คิชิริกะ คิชิริสุ,UA54BT/MST-1-010,U,Blue,คาแรคเตอร์,[เมื่อเข้าสู่สนาม] ดูการ์ด 3 ใบบนสุดของกองการ์ด แล้ววางไว้บนสุดของกองการ์ดตามใจชอบ,3,1,3000,-,BB,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/UA54BT_MST-1-010.png?v8
